Epoca,Erro_Treino,Erro_Validacao
1,0.16736307207347986,0.18022950852749603
2,0.13645899161739888,0.16177129888913963
3,0.11208412760020346,0.1463061835700146
4,0.09349367840039119,0.1322328123682375
5,0.07991962571638413,0.11910187885635236
6,0.06932869538255512,0.10854841482686606
7,0.060750767368165204,0.10127992397400375
8,0.05381281106329213,0.09579062915094619
9,0.04828308181831644,0.09150601458595742
10,0.04374369564262817,0.08811637791983468
11,0.03987543698714936,0.08525628435356326
12,0.03649055015190322,0.08265066166925618
13,0.033487144266358466,0.08018485974570948
14,0.030803043840228053,0.07784324238513018
15,0.02839181170307869,0.07566339179068604
16,0.02620773995066771,0.07371074048075271
17,0.024217411967520884,0.07202538234647582
18,0.022398913003603124,0.0705943312497471
19,0.02070999622456442,0.06930835826116913
20,0.019118020001360824,0.06797463220888242
21,0.017617117764272393,0.066325304034765
22,0.016213594887276046,0.06421540792159752
23,0.014937514482665488,0.062006962278545116
24,0.013808475801723516,0.06029095010503271
25,0.012798952068553065,0.05909475368182078
26,0.011886587583263655,0.058204865456116424
27,0.011059546134492122,0.05748322765544762
28,0.010304798909494976,0.056848927047390974
29,0.009615223424479917,0.05626108409765971
