Epoca,Erro_Treino,Erro_Validacao
1,0.16157789274788867,0.10884191791878203
2,0.07733399650044677,0.07197088816168727
3,0.05377120098150443,0.06307035798655454
4,0.041451151620053035,0.05690500392427803
5,0.03285536616849463,0.05477053394562295
6,0.026157506408586096,0.05225315385962994
7,0.02085515540299157,0.050747456959738264
8,0.017224368998164957,0.05039981445566555
9,0.014720830779546987,0.05383665381804282
10,0.013035046493755696,0.04872343302903763
11,0.010143583419653948,0.04749662111296046
12,0.0086524097852973,0.04430858412814947
13,0.007312511704646545,0.04211339967771804
14,0.006191184382418944,0.04045847778108627
15,0.005351780991257733,0.03866524089292374
16,0.00472421223950547,0.038272941432676615
