Epoca,Erro_Quadratico_Medio
1,0.27543662944238906
2,0.25956753667870885
3,0.25131123481262896
4,0.2459887612422336
5,0.2424584579586437
6,0.24007236796499257
7,0.23843628909699321
8,0.23731033931860554
9,0.2365660704980258
10,0.2361485612568398
11,0.2359929078327671
12,0.23599399263032458
13,0.23606848121336516
14,0.23619849419499647
15,0.23641176419818363
16,0.23675111283630287
17,0.23727424136601452
18,0.23807312170509282
19,0.2391380709637213
20,0.2401542737636353
21,0.24105397341839896
22,0.24188407839316906
23,0.24266519413686202
24,0.24341295847122385
25,0.24413980908530517
26,0.2448494922996928
27,0.24553995649926166
28,0.24620957544162073
29,0.2468601572932812
