Rotulo_Real,Classe_Predita
A,C
B,B
C,Z
D,Q
E,P
F,R
G,J
H,X
I,F
J,J
K,X
L,E
M,P
N,L
O,D
P,B
Q,T
R,R
S,D
T,F
U,B
V,D
W,M
X,R
Y,B
Z,Z
