Epoca,Erro_Treino,Erro_Validacao
1,0.15525005187528484,0.1676256604800023
2,0.1168557016243712,0.13205256527177703
3,0.09404519990245201,0.1087974352071986
4,0.07895289753989605,0.09242522478699339
5,0.06842169447305942,0.08332478793869891
6,0.06043424017129598,0.07867979691136011
7,0.05409609104054875,0.07639420251717104
8,0.048987274039716644,0.07537317845925308
9,0.04477196812919313,0.07504504733076954
10,0.04118789539060072,0.07501300494646518
11,0.0380377722489822,0.07498108583439021
12,0.03530960101512638,0.07485016912894205
13,0.033000457324497266,0.07462074849265579
14,0.03103129388325609,0.07427876549629135
15,0.0293076187796057,0.07380103231328387
16,0.02774749957171352,0.07315147797198272
17,0.026314550434043602,0.07234199543223908
18,0.0250334330545815,0.0715380364077785
19,0.023909655900464115,0.07085099749874957
20,0.022913561311780385,0.07026534238082628
21,0.02201776721381389,0.06974951275272473
22,0.021204045162745617,0.06928520425623287
23,0.020460383352530368,0.06886474446336124
24,0.019778529902165845,0.06848618086199104
25,0.01915181249001802,0.06814900800650525
26,0.01857386199103235,0.06785031419392587
27,0.018038482532191834,0.06758296467552935
28,0.017539616796359594,0.06733698896621042
29,0.01707111149011619,0.06710271142616112
30,0.016626659025305236,0.06687336856093415
31,0.016200026139150035,0.06664598362218624
32,0.01578572663697788,0.06642058514306633
33,0.015380531251714086,0.06619865338563066
34,0.014985344619126042,0.065981648877231
35,0.014604868978018784,0.0657702581951559
36,0.014243618522765338,0.06556468276265895
37,0.013902307311299874,0.06536519180691963
38,0.013577889202661881,0.06517205688561009
39,0.013265088184424704,0.06498545851497056
40,0.012957066022173561,0.06480569661226945
41,0.012645651762545512,0.06463298977852645
42,0.012325215820810496,0.06446637421512068
43,0.012004317574211477,0.06430216743828215
44,0.011699560501237008,0.06413513344924344
45,0.011415219030655201,0.06396238453819596
46,0.011159410111856085,0.06378553560593608
47,0.010933583485516872,0.06361184842097341
48,0.010727228567196986,0.0634503966180383
49,0.010529829937726347,0.06330597465973219
50,0.010333028039619219,0.06318192922369431
51,0.010129346550371463,0.06308476497443229
52,0.009910520688711531,0.06302539927173766
