Experimento,Caso,Camada_Oculta,Alpha,Max_Epocas,Erro_Minimo,Tempo_Original_Segundos,Tempo_Ruidoso_Segundos
exp_92,0,50,0.1,1000,0.01,11.9614,1.7756
exp_93,0,50,0.1,1000,0.005,16.0603,1.6987
exp_94,0,50,0.1,1500,0.05,7.1183,1.8628
exp_95,0,50,0.1,1500,0.01,9.1127,1.7067
exp_96,0,50,0.1,1500,0.005,17.7259,1.6703
exp_97,0,50,0.1,2000,0.05,5.2158,1.7140
exp_98,0,50,0.1,2000,0.01,15.9225,2.0175
exp_99,0,50,0.1,2000,0.005,14.0711,1.6652
exp_100,0,50,0.2,1000,0.05,3.0945,1.6612
exp_101,0,50,0.2,1000,0.01,5.8219,1.7064
exp_102,0,50,0.2,1000,0.005,22.2653,2.0796
exp_103,0,50,0.2,1500,0.05,3.6840,1.8765
exp_104,0,50,0.2,1500,0.01,8.9820,1.8490
exp_105,0,50,0.2,1500,0.005,9.9054,2.1511
exp_106,0,50,0.2,2000,0.05,6.1712,1.8079
exp_107,0,50,0.2,2000,0.01,11.1751,2.0682
exp_108,0,50,0.2,2000,0.005,20.2102,1.5518
exp_109,1,15,0.01,1000,0.05,3.7578,0.4097
exp_110,1,15,0.01,1000,0.01,12.0266,0.3176
exp_111,1,15,0.01,1000,0.005,19.1128,0.3571
exp_112,1,15,0.01,1500,0.05,5.1659,0.3608
exp_113,1,15,0.01,1500,0.01,16.4715,0.3547
exp_114,1,15,0.01,1500,0.005,19.2086,0.5664
exp_115,1,15,0.01,2000,0.05,4.2034,0.3306
exp_116,1,15,0.01,2000,0.01,11.6081,0.3559
exp_117,1,15,0.01,2000,0.005,19.8290,0.4379
exp_118,1,15,0.05,1000,0.05,1.1516,0.3962
exp_119,1,15,0.05,1000,0.01,3.1134,0.3721
exp_120,1,15,0.05,1000,0.005,5.7070,0.3965
exp_121,1,15,0.05,1500,0.05,0.7221,0.4369
exp_122,1,15,0.05,1500,0.01,2.8670,0.4149
exp_123,1,15,0.05,1500,0.005,5.1512,0.3286
exp_124,1,15,0.05,2000,0.05,1.2603,0.3715
exp_125,1,15,0.05,2000,0.01,2.9703,0.3235
exp_126,1,15,0.05,2000,0.005,4.6604,0.3855
exp_127,1,15,0.1,1000,0.05,0.8017,0.3784
exp_128,1,15,0.1,1000,0.01,1.8675,0.3459
exp_129,1,15,0.1,1000,0.005,2.1457,0.3325
exp_130,1,15,0.1,1500,0.05,0.8103,0.3516
exp_131,1,15,0.1,1500,0.01,2.1442,0.3437
exp_132,1,15,0.1,1500,0.005,2.5075,0.3542
exp_133,1,15,0.1,2000,0.05,0.7417,0.3440
exp_134,1,15,0.1,2000,0.01,2.1731,0.4953
exp_135,1,15,0.1,2000,0.005,2.5281,0.3714
exp_136,1,15,0.2,1000,0.05,0.3386,0.4509
exp_137,1,15,0.2,1000,0.01,1.3284,0.3357
exp_138,1,15,0.2,1000,0.005,1.7849,0.3467
exp_139,1,15,0.2,1500,0.05,0.5030,0.4830
exp_140,1,15,0.2,1500,0.01,1.1498,0.3753
exp_141,1,15,0.2,1500,0.005,1.2103,0.3900
exp_142,1,15,0.2,2000,0.05,0.4301,0.3964
exp_143,1,15,0.2,2000,0.01,0.8556,0.4073
