Epoca,Erro_Treino,Erro_Validacao
1,0.537360473341587,0.4617730859573012
2,0.45180227371313647,0.44340478801937333
3,0.4154699079995953,0.415947024907091
4,0.3770250322143699,0.38822271075688985
5,0.334429384656684,0.3613940861998226
6,0.29573770449058767,0.3404096211405761
7,0.2636663955015467,0.32146100601481825
8,0.23869190994367084,0.3064151757475759
9,0.21915109544247227,0.2952154328862637
10,0.20224678277573596,0.2862831942694622
11,0.18489814447129288,0.2786858553994577
12,0.16828815089894286,0.2706237050188509
13,0.15519158413931425,0.2641101988077462
14,0.1448464431524363,0.25880644510810447
15,0.13622884118725545,0.25436260848834086
16,0.1286579006005891,0.2501444960590546
17,0.12205350193465127,0.24582374636622253
18,0.11568436784689834,0.24084145706272253
19,0.10740127956836691,0.23557191515935358
20,0.09855604292381313,0.22882610805298295
21,0.0918387491331483,0.22125710649282035
22,0.08686012354085748,0.21391832775477546
23,0.083079008886693,0.20766333446208632
24,0.07982156806121489,0.20298885600144373
25,0.07690501217763494,0.20026276674809543
26,0.0742194059594104,0.19876260232705545
27,0.07179112181058159,0.19714570358513187
28,0.06960321485547376,0.19537132395183965
29,0.06766521000075215,0.1936447937582769
30,0.0658935251726836,0.19214751765991203
31,0.06417443983843082,0.19081751842200312
32,0.06262541598750933,0.18953140007795902
33,0.06139264688400378,0.18835132633268442
34,0.0603176030554122,0.18730487957084985
35,0.05934073520921108,0.18635924170173615
36,0.05842983103798335,0.1854569028700988
37,0.05756748620091526,0.1845713448810368
38,0.056712634528021305,0.18369797780448757
39,0.05572015370510876,0.18283011838596244
40,0.053724917308155144,0.18114713570619975
41,0.04794865221203546,0.1752577152401888
42,0.0422697600674486,0.17190115761072608
43,0.03919938287881305,0.16964071544810438
44,0.037186203962424565,0.1675189738655834
45,0.034855056148968874,0.1628439704804154
46,0.028957633154979612,0.1550227452014023
47,0.023075488707797857,0.15260048447105162
48,0.020152993038177032,0.1515868099225741
49,0.018319906995871157,0.15102211184863013
50,0.016937697899536513,0.15055983355487265
51,0.01583972183482337,0.15006508826844608
52,0.014961338611551456,0.1495398595599249
53,0.014244452234943868,0.14900388266454243
54,0.013641615203974866,0.14848324409491323
55,0.013113218227570006,0.14799418265537573
56,0.012622977157500296,0.14757382024932303
57,0.012140424483222105,0.1472987769035681
58,0.01167118577133762,0.14718875444234034
59,0.011240915765034557,0.14716583718530069
60,0.010862631478010525,0.1471763606732234
61,0.01053443280647635,0.1472159351420176
62,0.010247018496187484,0.14728578298684183
63,0.009991339319454723,0.1473836833180585
64,0.009760265241990052,0.14750988256945405
65,0.00954800185422057,0.14767120619588323
66,0.009348597014651627,0.14787619471896374
67,0.009152281215863775,0.14809169128564362
68,0.00894384979306203,0.1481765263714135
69,0.00872970679485787,0.14810755845996848
70,0.008535634395316285,0.14804256194524537
71,0.008365553576846181,0.14802633827642797
72,0.008214139713695928,0.1480475502143123
73,0.008076905076376801,0.14809120786179175
74,0.00795083083420137,0.14814665424129603
75,0.007833872223983454,0.1482073332333662
76,0.007724595688033959,0.148269450811494
77,0.007621954724454041,0.1483308871607241
78,0.007525153540647834,0.1483905004853016
79,0.007433564286159999,0.14844771545770982
