Epoca,Erro_Treino,Erro_Validacao
1,0.1101215890628169,0.1334491267399214
2,0.06281034040970146,0.09461929483518439
3,0.044526369127120144,0.08215816252351571
4,0.03406465694337338,0.07970708263101833
5,0.026738645182081244,0.07687555668566311
6,0.021212693487365923,0.07665951130452558
7,0.01531894582212018,0.07094567049592668
8,0.010180012984305408,0.06696941436080363
9,0.00710642105419513,0.06466952306122162
10,0.005372063828089487,0.06336032299819669
11,0.004389159135232378,0.06171241491254599
