Epoca,Erro_Treino,Erro_Validacao
1,0.15468103851310513,0.12733236386773267
2,0.07398050441061665,0.1398559691811667
3,0.04877459595009597,0.12367832465043282
4,0.03527116294020023,0.10910477890868393
5,0.025658092424025458,0.09151115357994187
6,0.018340379879774136,0.08380988811087475
7,0.014448172663864183,0.08291013664322566
8,0.011713774446480411,0.07055456490332677
9,0.009642889028659514,0.06789467810348858
10,0.008225064446872961,0.06789564224822404
11,0.007084060473779362,0.0683569046973161
12,0.0060969064803557075,0.06632392606515104
13,0.005308391902841328,0.06306694292362676
14,0.004691114944003768,0.0606845241915414
