Epoca,Erro_Quadratico_Medio
1,0.3073963754529633
2,0.2755532471894686
3,0.2680204530661701
4,0.2632071867067125
5,0.2594997718795627
6,0.2563926511454338
7,0.2536396744363654
8,0.2511874330550304
9,0.24906338087400143
10,0.24728553603501946
11,0.24583141704995842
12,0.24465787139469178
13,0.24372100122314638
14,0.24298097417886413
15,0.24240131586842617
16,0.24194920514504606
17,0.24159711176365417
18,0.24132403797004087
19,0.24111535654835
20,0.24096156640743424
21,0.24085687825230293
22,0.240798153673408
23,0.24078407911559685
24,0.2408142292280884
25,0.24088796904191273
26,0.24100357561407867
27,0.24115797196026673
28,0.24134703947223207
29,0.24156615532478606
30,0.24181064978477546
31,0.2420760788606295
32,0.24235834297580888
33,0.24265372269843705
34,0.24295889669091378
35,0.243270987509411
36,0.24358765088656834
