Epoca,Erro_Treino,Erro_Validacao
1,0.6964330030942202,0.4921461877579624
2,0.4855919606246782,0.4844451945289105
3,0.47544533058649596,0.4783835769148262
4,0.46533074209483055,0.4712925213207053
5,0.4542396488177935,0.4633335864565536
6,0.4427022992476755,0.4553560309509237
7,0.4311576095843367,0.44748217938583096
8,0.4195748738233343,0.4393929851421563
9,0.4075726054975585,0.431124341842021
10,0.39505145050858226,0.4230907379628249
11,0.3821538153346734,0.4151906133814666
12,0.36870540901108506,0.4070222373615526
13,0.3545340670459942,0.3979476584787676
14,0.3397051006563088,0.3877830403833611
15,0.3245907906235442,0.37677705191216065
16,0.30962474525042627,0.36524735989393037
17,0.2953653098883171,0.35371395429005537
18,0.28219700417030297,0.34256109304086396
19,0.2701200761052318,0.33206674225228006
20,0.2590251036876572,0.32225766067719225
21,0.2486624030436467,0.31313943333843
22,0.23868491222176413,0.30457484945008334
23,0.228621389813133,0.2963679940809906
24,0.2186802801130244,0.28867737519203884
25,0.2092365886110429,0.28160631299484123
26,0.2002507558161391,0.2751192050758803
27,0.19151526091050342,0.26894673321477136
28,0.18268472501269692,0.26280443667315606
29,0.17367705986420742,0.2569934615395613
30,0.1651375268235575,0.2518015557681034
31,0.1575967963071321,0.24721172311240244
32,0.15087933327287031,0.24306038175748335
33,0.14472703730994604,0.2391833362130287
34,0.13904168550192444,0.23553496298351007
35,0.13378778594070206,0.2321292858669985
36,0.12892708132471403,0.2289696932729313
37,0.12441783597601835,0.2260416899509825
38,0.12022852255063864,0.22332131819861004
39,0.11633529327565442,0.22078836317276843
40,0.11270746584924049,0.218430293209239
41,0.10930904458568945,0.21623080925733712
42,0.10610954523738793,0.2141614435123727
43,0.10308850647000438,0.21218594820601425
44,0.10023256902300041,0.2102730519083586
45,0.0975306232923435,0.20840579942251541
46,0.0949718915852601,0.20658223884693153
47,0.09254617715689564,0.20481027419599943
48,0.09024508643770318,0.20310239466333213
49,0.08806283386317793,0.2014723858313749
