Rotulo_Real,Classe_Predita
A,W
B,B
C,W
D,L
E,Z
F,A
G,G
H,N
I,A
J,Z
K,A
L,Z
M,B
N,H
O,D
P,O
Q,Q
R,R
S,Q
T,S
U,B
V,V
W,Q
X,R
Y,S
Z,Z
