Epoca,Erro_Treino,Erro_Validacao
1,0.14714526385418975,0.09401212992752275
2,0.06522308189639903,0.08321626575782279
3,0.045236542682557265,0.08073482019920661
4,0.033975167857825665,0.07622355365342036
5,0.026326476429091177,0.07451659393452531
6,0.021121354329645434,0.0734357954388637
7,0.017555002152839953,0.07214891218224419
8,0.014685667149137728,0.07131253540249252
9,0.012518581858088193,0.07087969919524972
10,0.010918381332960069,0.07105943394421112
11,0.009351890990803316,0.07038470767038128
12,0.007926214657301943,0.0693812131413934
13,0.006524443530249547,0.06858876189681129
14,0.005375219460304984,0.06778530141098235
15,0.0045018686250253214,0.0670397781951491
