Rotulo_Real,Classe_Predita
A,A
B,W
C,Z
D,P
E,T
F,R
G,W
H,N
I,Y
J,R
K,R
L,W
M,S
N,H
O,D
P,F
Q,T
R,B
S,Q
T,P
U,B
V,U
W,Z
X,B
Y,Y
Z,Z
