Epoca,Erro_Treino,Erro_Validacao
1,0.15799180951467048,0.12277615127235302
2,0.07528856214129287,0.0950215171548288
3,0.050477501370346185,0.08753501404508592
4,0.03653253456564991,0.08034227446926587
5,0.028535446246597332,0.07477199539233081
6,0.022633440611720942,0.07066902845747927
7,0.018383332010432227,0.06734617402630684
8,0.015702875397140426,0.0659500117938289
9,0.013618858882219797,0.06602776266871892
10,0.011774385324552971,0.06652956261032417
11,0.010144159327412448,0.06663105270178211
12,0.00879082364392347,0.06670186280155178
