Epoca,Erro_Quadratico_Medio
1,0.5621597740547762
2,0.5543273265157078
3,0.5581233856433732
4,0.5584972577192219
5,0.5560325700529328
6,0.554697475112692
7,0.5548729688085381
8,0.5541438335634962
9,0.5533010085186741
10,0.5524390395466682
11,0.5513483345789086
12,0.5500413178815341
13,0.5486340728745425
14,0.5471473703699843
15,0.5454940003030413
16,0.5439006392529713
17,0.5423935031375368
18,0.5405493620046589
19,0.5381881560792241
20,0.5357348480779814
21,0.5335058003203007
22,0.5315773800476737
23,0.5299247399469641
24,0.528495467390834
25,0.5272412217084984
26,0.5261354942167344
27,0.5251722314304614
28,0.5243532209488602
29,0.5237062798059147
30,0.5231783569098415
31,0.5225171343715431
32,0.521768690306993
33,0.5209883297274548
34,0.5202979987692713
35,0.5199638553668202
36,0.5202734357661569
37,0.5214259152252427
38,0.5233184377442848
39,0.5250563019871775
40,0.5250733196760919
41,0.5235188750751231
42,0.5213794782298452
43,0.5191708713261262
44,0.517166966070717
45,0.5154439712323343
46,0.5139826256014209
47,0.5127448778212839
48,0.5116869646408847
49,0.5107664096022047
50,0.5099543037729798
51,0.509236446357464
52,0.5086030696937887
53,0.5080426740877864
54,0.5075417458739679
55,0.507085887749364
56,0.5066606271669403
57,0.5062520109756443
58,0.5058475345276612
59,0.5054378164516153
60,0.505018561236728
61,0.5045914485155907
62,0.5041631650174878
63,0.5037434500898965
64,0.5033438312177428
65,0.5029782847136007
66,0.5026666277564107
67,0.5024418558024961
68,0.5023643456640075
69,0.5025534037298102
70,0.5032826268397362
71,0.5052282019604885
72,0.5078445685114471
73,0.5068143144498048
74,0.5043441581008495
75,0.5022281355463688
76,0.5006961286640459
77,0.49965870267533863
78,0.49898792553142346
79,0.49858915900403206
80,0.4984084739660339
81,0.49841856634745135
82,0.49860676431738804
83,0.49897091976752184
84,0.49948960297543
85,0.5000387665960451
86,0.500312144595114
87,0.4998517256866236
88,0.4980817473288547
89,0.49564937349403543
90,0.4940387954220138
91,0.4932328557433187
92,0.49279925939848573
93,0.49255003476999903
94,0.4924330186252901
95,0.4924549199417397
96,0.4926652141563848
97,0.49313718501924964
98,0.49390587729918967
99,0.4948593862795246
100,0.49570269966262925
101,0.4960658782691248
102,0.4958888974414511
103,0.4954241239127217
104,0.4948189120637433
105,0.49418239314784224
106,0.4935873002142461
107,0.49306044182840864
108,0.492606258612373
109,0.4922203750984257
110,0.4918950577390748
111,0.49162190381744103
112,0.49139306442548836
113,0.49120167907815565
114,0.4910420220494318
115,0.4909095789652935
116,0.49080105458775364
117,0.4907142364276518
118,0.49064770137340646
119,0.49060043420396443
120,0.4905714218532288
121,0.4905592467644895
122,0.49056174475781356
123,0.4905759197339274
124,0.490598351825389
125,0.4906261131967213
126,0.49065778797586806
127,0.4906938070798066
128,0.49073513896250237
129,0.49078083919349297
130,0.490827857020511
131,0.49087354968460606
132,0.4909169831900836
133,0.49095840671480134
134,0.490998501701041
135,0.4910379937566062
136,0.49107752610564465
137,0.4911176383259774
138,0.4911587723923125
139,0.491201280717967
140,0.49124543239561763
141,0.4912914195742101
142,0.4913393657924888
143,0.4913893366441595
144,0.4914413520305192
145,0.4914953988053776
146,0.4915514426792877
147,0.49160943857405237
148,0.4916693390118023
149,0.49173110047781365
150,0.4917946879678229
151,0.49186007811068133
152,0.491927261356849
153,0.4919962437637651
154,0.4920670489158231
155,0.4921397205127467
156,0.49221432615781396
157,0.49229096286339996
158,0.49236976470438093
159,0.49245091274992336
160,0.4925346466480766
161,0.49262127570667297
162,0.49271118477257053
163,0.4928048268601506
164,0.49290269139039244
165,0.493005236079753
166,0.49311277412668597
167,0.493225317669839
168,0.4933423946216001
169,0.4934628818400623
170,0.4935849330539788
171,0.4937061015633076
172,0.49382370857241364
173,0.4939353617905491
174,0.4940393942530006
175,0.494135034903001
176,0.49422231025120006
177,0.49430180920846745
178,0.49437443792912605
179,0.4944412268535545
180,0.494503202354464
181,0.4945613132061935
182,0.49461639643938415
183,0.49466916845987785
184,0.4947202307252646
185,0.49477008269941214
186,0.494819137535531
187,0.49486773787659927
188,0.494916170436404
189,0.49496467880998346
190,0.4950134744144585
191,0.495062745699504
192,0.49511266587517755
193,0.49516339943965043
194,0.49521510778598765
195,0.49526795414716673
196,0.4953221081141812
197,0.4953777499403371
198,0.4954350748290787
199,0.495494297394702
200,0.495555656485917
201,0.49561942057192876
202,0.4956858939097859
203,0.49575542374033915
204,0.49582840879787354
205,0.4959053094635774
206,0.49598665994086033
207,0.4960730828702375
208,0.4961653068098446
209,0.4962641869370482
210,0.4963707290824141
211,0.49648611660477643
212,0.4966117383000272
213,0.4967492128344258
214,0.49690039986324175
215,0.49706737782939725
216,0.4972523497993701
217,0.4974574065434698
218,0.49768402656154026
219,0.4979321345054442
220,0.49819852594394043
221,0.49847465751797054
222,0.4987444851115934
223,0.4989842990359543
224,0.4991672324895811
225,0.4992726698393698
226,0.49929514799944885
227,0.49924559804089835
228,0.4991445225742924
229,0.4990134061016972
230,0.49886949692446864
231,0.49872448419364457
232,0.4985853195568605
233,0.4984556236919814
234,0.49833693283525443
235,0.49822959131677746
236,0.49813332555162027
237,0.49804759054409853
238,0.49797177115698815
239,0.4979052973796889
240,0.49784771262058225
241,0.4977987202020355
242,0.4977582251551121
243,0.4977263848782616
244,0.4977036825342802
245,0.49769104135330533
246,0.49769000736202945
247,0.4977030439958422
248,0.49773400273109436
249,0.49778883336201923
250,0.4978764239229713
251,0.4980083631625785
252,0.49819117989902034
253,0.49838665884621774
254,0.49841025239233394
255,0.49800918203807215
256,0.4974690861572164
257,0.49720552870764045
258,0.4971778758429905
259,0.49724836891050955
260,0.49734183298243506
261,0.4974352851252545
262,0.4975288522015095
263,0.4976271592162605
264,0.49772984244048973
265,0.49782966200432965
266,0.4979164811044143
267,0.4979836130421593
268,0.49803110728248057
269,0.49806366616209574
270,0.4980867415418767
271,0.49810437137664787
272,0.4981188764799826
273,0.4981312954097605
274,0.4981418912386079
275,0.4981505429461083
276,0.4981570172170698
277,0.4981611455334984
278,0.498162920649529
279,0.4981625212026252
280,0.49816027960704506
281,0.4981566168134961
282,0.4981519688343058
283,0.49814672330907944
284,0.49814117494961074
285,0.4981355013835043
286,0.4981297573608988
287,0.49812388451494516
288,0.4981177340793617
289,0.4981110998145771
290,0.49810375742909174
291,0.49809550540324043
292,0.4980862012120678
293,0.4980757873283468
294,0.4980643033248967
295,0.49805188338506023
296,0.49803874156255695
297,0.49802514922700875
298,0.49801140979698655
299,0.49799783521539454
300,0.4979847271846993
301,0.49797236455443056
302,0.49796099687730466
303,0.4979508432050788
304,0.49794209463621675
305,0.4979349187487238
306,0.4979294635160821
307,0.49792585709165926
308,0.49792419709250724
309,0.49792451728487713
310,0.4979267090520608
311,0.49793036036204863
312,0.49793447282749437
313,0.49793710106555605
314,0.49793529974550305
315,0.4979263647823627
316,0.4979108787752466
317,0.4978943032044593
318,0.49788292866683553
319,0.49787929988467544
320,0.4978825384218382
321,0.49789055680631233
