Epoca,Erro_Treino,Erro_Validacao
1,0.19151568896863613,0.15313542912257877
2,0.12709480096893247,0.1295864745492513
3,0.09557866715036292,0.11211633342885735
4,0.07628128028099117,0.09925395076770151
5,0.06278508029578252,0.09098951742470347
6,0.05269900539634198,0.08572698742762595
7,0.04487596516062382,0.08220113253281044
8,0.03868027126387216,0.0795182009183875
9,0.033671680503728214,0.07709875897455666
10,0.029562829700054884,0.07476298926290786
11,0.026150910498315104,0.07264547587477459
12,0.023286244468866554,0.07089113731693233
13,0.020864171140367,0.06952467931401964
14,0.01881286680071467,0.06848896459271497
15,0.017070672255419243,0.06771317157128721
16,0.015570408943420565,0.06714725673066282
17,0.014243283437174356,0.06675753844426807
18,0.013034297619902354,0.066493245128619
19,0.011933374659041056,0.06627097041731
20,0.01095301533640831,0.0660758092431486
21,0.010061632133424505,0.0659278207667828
22,0.00923311280275079,0.06581311094674148
