Rotulo_Real,Classe_Predita
A,W
B,T
C,Z
D,L
E,K
F,R
G,N
H,W
I,I
J,J
K,K
L,J
M,M
N,N
O,D
P,B
Q,T
R,R
S,Q
T,P
U,L
V,V
W,M
X,S
Y,N
Z,Z
