Epoca,Erro_Treino,Erro_Validacao
1,0.4727182332397845,0.47763087864003884
2,0.4518619864017648,0.4618288779170868
3,0.43160424909748096,0.4457236695661652
4,0.41071179114124146,0.431552462606501
5,0.3884692952447266,0.4157052639699561
6,0.3627922860078809,0.3992262869291877
7,0.3393498015413414,0.3834090791103835
8,0.3169823155633326,0.3688672994490333
9,0.29382144165313145,0.35290250448288424
10,0.2692743864568644,0.33342404902365946
11,0.24416227195421478,0.31124935433395345
12,0.22303722746600851,0.2956215257482233
13,0.20427600932928908,0.28386787132822555
14,0.1864834461946327,0.27227011698766856
15,0.17025669988627568,0.25986091180837084
16,0.15642651209311942,0.24858868170885165
17,0.14464474734606758,0.23991951507273995
18,0.13403938833498782,0.23374226809431214
19,0.12457245286438881,0.22911576163523906
20,0.11617936318157657,0.22594200834328598
21,0.10826619125586226,0.22235407929389028
22,0.10097938540655485,0.21897014045623148
23,0.09442500708092932,0.21634048843664577
24,0.08865524106914134,0.21437394826350484
25,0.08350523915078283,0.2126577121270405
26,0.0788246908259191,0.21053759309380946
27,0.0746487779480418,0.20792291198270257
28,0.07091763255891348,0.20538558896857786
29,0.06752574511258587,0.20313543122562555
30,0.06448127734489983,0.2007675252733854
31,0.06176912749220973,0.19836607680054177
32,0.05934616417977712,0.1962857528557042
33,0.05709736285479303,0.1944003910266762
34,0.05497059993775417,0.19271132019082382
35,0.052931600311922955,0.19127187105261667
36,0.0509327280169216,0.1901195990858129
37,0.049022754334141556,0.18900107883905304
38,0.0472066498263106,0.1876013488445953
39,0.04544591678723426,0.18637855822929617
40,0.04381344188742494,0.1854804817784879
41,0.0423005566991269,0.18494703986509928
42,0.0408916001690331,0.18469676653975778
43,0.03957150089713339,0.18465685571274143
44,0.038363146310041736,0.18483108962614447
45,0.037188374001875045,0.1849393787602966
46,0.03602629497248629,0.18469468897286417
47,0.03490377526266371,0.18427056751704632
48,0.03390545373314077,0.1839550611879129
49,0.03296229428529757,0.18354148279995025
50,0.03215958513537122,0.18334910028341544
51,0.03132076767241931,0.18296498235660605
52,0.030613303199193663,0.18296673063566177
53,0.02984082066457401,0.1827070112231235
54,0.029184101851056632,0.18284389509504476
55,0.028488418324153296,0.18278120240547066
56,0.027839989128632288,0.1829198120472022
57,0.027178372700529817,0.18301948105514204
58,0.0265052970288363,0.18306880144535664
59,0.02590682607556748,0.18265935350176446
60,0.025402922003230053,0.18244121947736877
61,0.02476618190312207,0.18301912832716485
62,0.024240959418217432,0.18303997192369106
63,0.023759755673988733,0.1829759154861569
64,0.023310569521798448,0.18290230120979523
65,0.022886445727783325,0.18284464311096923
66,0.022482089784709048,0.18280188239162942
67,0.02209373939957176,0.18276954462603884
68,0.02171835289224862,0.18274367306771977
69,0.021353169179301818,0.18271975158482567
70,0.020995605745239846,0.1826905847299297
71,0.02064455317320565,0.18264915523888972
72,0.020302558768307104,0.18259783613249161
73,0.01997436129968828,0.18255150220235414
74,0.019664490156902376,0.18253462697845974
75,0.019374681106583257,0.1825787899716018
76,0.01910085561032703,0.18270569004517961
77,0.01883643192635753,0.1829010667054125
78,0.018573593401573323,0.1831454817872705
79,0.018291014747187976,0.18345974181696456
80,0.017974461131968638,0.18387034359724838
